# source=kernel stair detail
# input_file=kernel-sweep-wide-count10.csv
p_header,p_value,plateau_index,start_r_px,end_r_px,start_r_norm,end_r_norm,tread_px,level_eff01,riser_to_next01,delta_tread_to_prev,tread_ratio_to_prev,log2_tread_ratio_to_prev
0_75,0.75,16,3487,3575,43.5875,44.6875,89,0.6221590875,0.0085227225,-1,0.98888889,-0.01611967
0_75,0.75,17,3576,3664,44.7,45.8,89,0.613636365,0.00852273,0,1,0
0_75,0.75,18,3665,3753,45.8125,46.9125,89,0.605113635,0.0085227225,0,1,0
0_75,0.75,19,3754,3841,46.925,48.0125,88,0.5965909125,0.00852273,-1,0.98876404,-0.01630181
0_75,0.75,20,3842,3928,48.025,49.1,87,0.5880681825,0.00852273,-1,0.98863636,-0.01648812
0_75,0.75,21,3929,4015,49.1125,50.1875,87,0.5795454525,0.0085227225,0,1,0
0_75,0.75,22,4016,4102,50.2,51.275,87,0.57102273,0.00852273,0,1,0
0_75,0.75,23,4103,4188,51.2875,52.35,86,0.5625,0.00852273,-1,0.98850575,-0.01667874
0_75,0.75,24,4189,4274,52.3625,53.425,86,0.55397727,0.0085227225,0,1,0
0_75,0.75,25,4275,4359,53.4375,54.4875,85,0.5454545475,0.00852273,-1,0.98837209,-0.01687382
0_75,0.75,26,4360,4444,54.5,55.55,85,0.5369318175,0.00852273,0,1,0
0_75,0.75,27,4445,4527,55.5625,56.5875,83,0.5284090875,0.0085227225,-2,0.97647059,-0.0343515
0_75,0.75,28,4528,4609,56.6,57.6125,82,0.519886365,0.00852273,-1,0.98795181,-0.01748743
0_75,0.75,29,4610,4689,57.625,58.6125,80,0.511363635,0.0085227225,-2,0.97560976,-0.03562391
0_75,0.75,30,4690,4768,58.625,59.6,79,0.5028409125,0.00852273,-1,0.9875,-0.01814735
0_75,0.75,31,4769,4845,59.6125,60.5625,77,0.4943181825,0.00852273,-2,0.97468354,-0.03699421
0_75,0.75,32,4846,4921,60.575,61.5125,76,0.4857954525,0.0085227225,-1,0.98701299,-0.01885903
0_75,0.75,33,4922,4996,61.525,62.45,75,0.47727273,0.00852273,-1,0.98684211,-0.01910882
0_75,0.75,34,4997,5069,62.4625,63.3625,73,0.46875,0.00852273,-2,0.97333333,-0.03899413
0_75,0.75,35,5070,5142,63.375,64.275,73,0.46022727,0.0085227225,0,1,0
0_75,0.75,36,5143,5213,64.2875,65.1625,71,0.4517045475,0.00852273,-2,0.97260274,-0.04007744
0_75,0.75,37,5214,5284,65.175,66.05,71,0.4431818175,0.00852273,0,1,0
0_75,0.75,38,5285,5353,66.0625,66.9125,69,0.4346590875,0.0085227225,-2,0.97183099,-0.04122266
0_75,0.75,39,5354,5422,66.925,67.775,69,0.426136365,0.00852273,0,1,0
0_75,0.75,40,5423,5490,67.7875,68.625,68,0.417613635,0.0085227225,-1,0.98550725,-0.02106162
0_75,0.75,41,5491,5557,68.6375,69.4625,67,0.4090909125,0.00852273,-1,0.98529412,-0.02137365
0_75,0.75,42,5558,5623,69.475,70.2875,66,0.4005681825,0.00852273,-1,0.98507463,-0.02169507
0_75,0.75,43,5624,5684,70.3,71.05,61,0.3920454525,0.0085227225,-5,0.92424242,-0.11365678
0_75,0.75,44,5685,5742,71.0625,71.775,58,0.38352273,0.00852273,-3,0.95081967,-0.07275634
0_75,0.75,45,5743,5799,71.7875,72.4875,57,0.375,0.00852273,-1,0.98275862,-0.02509098
0_75,0.75,46,5800,5857,72.5,73.2125,58,0.36647727,0.0085227225,1,1.01754386,0.02509098
0_75,0.75,47,5858,5913,73.225,73.9125,56,0.3579545475,0.00852273,-2,0.96551724,-0.05062607
0_75,0.75,48,5914,5970,73.925,74.625,57,0.3494318175,0.00852273,1,1.01785714,0.02553509
0_75,0.75,49,5971,6025,74.6375,75.3125,55,0.3409090875,0.0085227225,-2,0.96491228,-0.0515303
0_75,0.75,50,6026,6081,75.325,76.0125,56,0.332386365,0.00852273,1,1.01818182,0.02599521
0_75,0.75,51,6082,6136,76.025,76.7,55,0.323863635,0.0085227225,-1,0.98214286,-0.02599521
0_75,0.75,52,6137,6191,76.7125,77.3875,55,0.3153409125,0.00852273,0,1,0
0_75,0.75,53,6192,6245,77.4,78.0625,54,0.3068181825,0.00852273,-1,0.98181818,-0.02647221
0_75,0.75,54,6246,6299,78.075,78.7375,54,0.2982954525,0.0085227225,0,1,0
0_75,0.75,55,6300,6352,78.75,79.4,53,0.28977273,0.00852273,-1,0.98148148,-0.02696705
0_75,0.75,56,6353,6406,79.4125,80.075,54,0.28125,0.00852273,1,1.01886792,0.02696705
0_75,0.75,57,6407,6459,80.0875,80.7375,53,0.27272727,0.0085227225,-1,0.98148148,-0.02696705
0_75,0.75,58,6460,6511,80.75,81.3875,52,0.2642045475,0.00852273,-1,0.98113208,-0.02748074
0_75,0.75,59,6512,6564,81.4,82.05,53,0.2556818175,0.00852273,1,1.01923077,0.02748074
0_75,0.75,60,6565,6615,82.0625,82.6875,51,0.2471590875,0.0085227225,-2,0.96226415,-0.05549511
0_75,0.75,61,6616,6667,82.7,83.3375,52,0.238636365,0.00852273,1,1.01960784,0.02801438
0_75,0.75,62,6668,6719,83.35,83.9875,52,0.230113635,0.0085227225,0,1,0
0_75,0.75,63,6720,6770,84,84.625,51,0.2215909125,0.00852273,-1,0.98076923,-0.02801438
0_75,0.75,64,6771,6820,84.6375,85.25,50,0.2130681825,0.00852273,-1,0.98039216,-0.02856915
0_75,0.75,65,6821,6871,85.2625,85.8875,51,0.2045454525,0.0085227225,1,1.02,0.02856915
0_75,0.75,66,6872,6921,85.9,86.5125,50,0.19602273,0.00852273,-1,0.98039216,-0.02856915
0_75,0.75,67,6922,6971,86.525,87.1375,50,0.1875,0.00852273,0,1,0
0_75,0.75,68,6972,7021,87.15,87.7625,50,0.17897727,0.0085227225,0,1,0
0_75,0.75,69,7022,7070,87.775,88.375,49,0.1704545475,0.00852273,-1,0.98,-0.02914635
0_75,0.75,70,7071,7120,88.3875,89,50,0.1619318175,0.00852273,1,1.02040816,0.02914635
