# source=kernel stair detail
# input_file=kernel-sweep-wide-count20.csv
p_header,p_value,plateau_index,start_r_px,end_r_px,start_r_norm,end_r_norm,tread_px,level_eff01,riser_to_next01,delta_tread_to_prev,tread_ratio_to_prev,log2_tread_ratio_to_prev
0_6,0.6,23,4935,5050,61.6875,63.125,116,0.372413796,0.010344828,-3,0.97478992,-0.03683677
0_6,0.6,24,5051,5164,63.1375,64.55,114,0.362068968,0.010344828,-2,0.98275862,-0.02509098
0_6,0.6,25,5165,5276,64.5625,65.95,112,0.35172414,0.010344828,-2,0.98245614,-0.02553509
0_6,0.6,26,5277,5385,65.9625,67.3125,109,0.341379312,0.010344828,-3,0.97321429,-0.0391706
0_6,0.6,27,5386,5493,67.325,68.6625,108,0.331034484,0.010344828,-1,0.99082569,-0.01329682
0_6,0.6,28,5494,5599,68.675,69.9875,106,0.320689656,0.010344828,-2,0.98148148,-0.02696705
0_6,0.6,29,5600,5698,70,71.225,99,0.310344828,0.010344828,-7,0.93396226,-0.09856383
0_6,0.6,30,5699,5793,71.2375,72.4125,95,0.3,0.010344828,-4,0.95959596,-0.05950101
0_6,0.6,31,5794,5887,72.425,73.5875,94,0.289655172,0.010344828,-1,0.98947368,-0.01526676
0_6,0.6,32,5888,5980,73.6,74.75,93,0.279310344,0.010344828,-1,0.9893617,-0.01543004
0_6,0.6,33,5981,6072,74.7625,75.9,92,0.268965516,0.010344828,-1,0.98924731,-0.01559686
0_6,0.6,34,6073,6163,75.9125,77.0375,91,0.258620688,0.010344828,-1,0.98913043,-0.01576732
0_6,0.6,35,6164,6253,77.05,78.1625,90,0.24827586,0.010344828,-1,0.98901099,-0.01594154
0_6,0.6,36,6254,6342,78.175,79.275,89,0.237931032,0.010344828,-1,0.98888889,-0.01611967
0_6,0.6,37,6343,6431,79.2875,80.3875,89,0.227586204,0.010344822,0,1,0
0_6,0.6,38,6432,6518,80.4,81.475,87,0.217241382,0.010344828,-2,0.97752809,-0.03278994
