S,P,N,center_alpha
24,0.05,4,0.03137255
24,0.05,5,0.03921569
24,0.05,6,0.04705882
24,0.05,7,0.05490196
24,0.05,8,0.0627451
24,0.05,9,0.07058824
24,0.05,10,0.07843137
24,0.05,15,0.11764706
24,0.05,20,0.15686275
24,0.05,25,0.19607843
24,0.05,50,0.32156863
24,0.05,75,0.41960784
24,0.05,100,0.51764706
24,0.1,1,0.01764706
24,0.1,2,0.03529412
24,0.1,3,0.05294118
24,0.1,4,0.07058824
24,0.1,5,0.08823529
24,0.1,6,0.10588235
24,0.1,7,0.12156863
24,0.1,8,0.1372549
24,0.1,9,0.15098039
24,0.1,10,0.16470588
24,0.1,15,0.23333333
24,0.1,20,0.29803922
24,0.1,25,0.35686275
24,0.1,50,0.58235294
24,0.1,75,0.72156863
24,0.1,100,0.81960784
24,0.25,1,0.05784314
24,0.25,2,0.11176471
24,0.25,3,0.1627451
24,0.25,4,0.21176471
24,0.25,5,0.25784314
24,0.25,6,0.30098039
24,0.25,7,0.34019608
24,0.25,8,0.37843137
24,0.25,9,0.41470588
24,0.25,10,0.44901961
24,0.25,15,0.58921569
24,0.25,20,0.69509804
24,0.25,25,0.77352941
24,0.25,50,0.94509804
24,0.25,75,0.96862745
24,0.25,100,0.96862745
24,0.5,1,0.16862745
24,0.5,2,0.30784314
24,0.5,3,0.4254902
24,0.5,4,0.52156863
24,0.5,5,0.60294118
24,0.5,6,0.66960784
24,0.5,7,0.7245098
24,0.5,8,0.76960784
24,0.5,9,0.80980392
24,0.5,10,0.84215686
24,0.5,15,0.93627451
24,0.5,20,0.97254902
24,0.5,25,0.98921569
24,0.5,50,0.99117647
24,0.5,75,0.99117647
24,0.5,100,0.99117647
24,0.65,1,0.26960784
24,0.65,2,0.46666667
24,0.65,3,0.60980392
24,0.65,4,0.71568627
24,0.65,5,0.79117647
24,0.65,6,0.84705882
24,0.65,7,0.88823529
24,0.65,8,0.91764706
24,0.65,9,0.93921569
24,0.65,10,0.95490196
24,0.65,15,0.99117647
24,0.65,20,0.99509804
24,0.65,25,0.99509804
24,0.65,50,0.99509804
24,0.65,75,0.99509804
24,0.65,100,0.99509804
24,0.77,1,0.36960784
24,0.77,2,0.60294118
24,0.77,3,0.74901961
24,0.77,4,0.84117647
24,0.77,5,0.90098039
24,0.77,6,0.9372549
24,0.77,7,0.96078431
