S,P,N,a_r0,a_r1,a_r2,a_r3,a_r4,a_r5,a_r6,a_r12,a_r25,a_r50,a_r75,a_r100
5,0.65,15,0.99411765,0.89411765,0.21431373,0,0,0,0,0,0,0,0,0
5,0.65,20,0.99411765,0.93039216,0.23862745,0,0,0,0,0,0,0,0,0
5,0.65,25,0.99411765,0.95196078,0.25627451,0,0,0,0,0,0,0,0,0
5,0.65,50,0.99411765,0.98284314,0.29980392,0,0,0,0,0,0,0,0,0
5,0.65,75,0.99411765,0.98284314,0.31568627,0,0,0,0,0,0,0,0,0
5,0.65,100,0.99411765,0.98284314,0.32372549,0,0,0,0,0,0,0,0,0
5,0.77,1,0.48529412,0.27892157,0.03901961,0,0,0,0,0,0,0,0,0
5,0.77,2,0.73137255,0.45833333,0.07078431,0,0,0,0,0,0,0,0,0
5,0.77,3,0.85784314,0.57745098,0.09647059,0,0,0,0,0,0,0,0,0
5,0.77,4,0.92352941,0.65980392,0.11823529,0,0,0,0,0,0,0,0,0
5,0.77,5,0.95882353,0.72009804,0.13686275,0,0,0,0,0,0,0,0,0
5,0.77,6,0.97745098,0.76519608,0.1527451,0,0,0,0,0,0,0,0,0
5,0.77,7,0.9872549,0.8004902,0.16666667,0,0,0,0,0,0,0,0,0
5,0.77,8,0.99117647,0.82892157,0.17882353,0,0,0,0,0,0,0,0,0
5,0.77,9,0.99411765,0.85098039,0.18941176,0,0,0,0,0,0,0,0,0
5,0.77,10,0.99607843,0.86960784,0.19921569,0,0,0,0,0,0,0,0,0
5,0.77,15,0.99607843,0.92843137,0.23509804,0,0,0,0,0,0,0,0,0
5,0.77,20,0.99607843,0.95735294,0.25901961,0,0,0,0,0,0,0,0,0
5,0.77,25,0.99607843,0.97303922,0.27607843,0,0,0,0,0,0,0,0,0
5,0.77,50,0.99607843,0.98627451,0.3145098,0,0,0,0,0,0,0,0,0
5,0.77,75,0.99607843,0.98627451,0.32666667,0,0,0,0,0,0,0,0,0
5,0.77,100,0.99607843,0.98627451,0.33156863,0,0,0,0,0,0,0,0,0
5,0.85,1,0.51372549,0.3004902,0.04333333,0,0,0,0,0,0,0,0,0
5,0.85,2,0.75882353,0.48676471,0.07803922,0,0,0,0,0,0,0,0,0
5,0.85,3,0.87843137,0.60735294,0.10607843,0,0,0,0,0,0,0,0,0
5,0.85,4,0.93823529,0.68970588,0.12921569,0,0,0,0,0,0,0,0,0
5,0.85,5,0.96666667,0.74803922,0.14862745,0,0,0,0,0,0,0,0,0
5,0.85,6,0.98235294,0.79215686,0.16529412,0,0,0,0,0,0,0,0,0
5,0.85,7,0.99019608,0.8254902,0.17960784,0,0,0,0,0,0,0,0,0
5,0.85,8,0.99411765,0.85196078,0.19235294,0,0,0,0,0,0,0,0,0
5,0.85,9,0.99607843,0.87401961,0.20352941,0,0,0,0,0,0,0,0,0
5,0.85,10,0.99607843,0.89215686,0.21333333,0,0,0,0,0,0,0,0,0
5,0.85,15,0.99607843,0.94460784,0.25078431,0,0,0,0,0,0,0,0,0
5,0.85,20,0.99607843,0.96862745,0.2754902,0,0,0,0,0,0,0,0,0
5,0.85,25,0.99607843,0.98137255,0.29313725,0,0,0,0,0,0,0,0,0
5,0.85,50,0.99607843,0.98872549,0.33392157,0,0,0,0,0,0,0,0,0
5,0.85,75,0.99607843,0.98872549,0.34882353,0,0,0,0,0,0,0,0,0
5,0.85,100,0.99607843,0.98872549,0.35862745,0,0,0,0,0,0,0,0,0
5,1,1,0.55392157,0.33284314,0.05039216,0,0,0,0,0,0,0,0,0
5,1,2,0.79607843,0.52941176,0.08921569,0,0,0,0,0,0,0,0,0
5,1,3,0.90490196,0.65147059,0.12019608,0,0,0,0,0,0,0,0,0
5,1,4,0.95490196,0.73235294,0.14568627,0,0,0,0,0,0,0,0,0
5,1,5,0.97843137,0.78872549,0.16686275,0,0,0,0,0,0,0,0,0
5,1,6,0.98921569,0.82892157,0.18490196,0,0,0,0,0,0,0,0,0
5,1,7,0.99313725,0.86029412,0.20039216,0,0,0,0,0,0,0,0,0
5,1,8,0.99607843,0.88431373,0.21352941,0,0,0,0,0,0,0,0,0
5,1,9,0.99607843,0.90343137,0.22529412,0,0,0,0,0,0,0,0,0
5,1,10,0.99607843,0.91813725,0.23588235,0,0,0,0,0,0,0,0,0
5,1,15,0.99607843,0.96323529,0.27411765,0,0,0,0,0,0,0,0,0
5,1,20,0.99607843,0.98088235,0.29862745,0,0,0,0,0,0,0,0,0
5,1,25,0.99607843,0.98872549,0.31529412,0,0,0,0,0,0,0,0,0
5,1,50,0.99607843,0.99019608,0.35509804,0,0,0,0,0,0,0,0,0
5,1,75,0.99607843,0.99019608,0.36823529,0,0,0,0,0,0,0,0,0
5,1,100,0.99607843,0.99019608,0.37490196,0,0,0,0,0,0,0,0,0
6,0.05,1,0.01862745,0.0127451,0.00392157,0.00019608,0,0,0,0,0,0,0,0
6,0.05,2,0.0372549,0.0254902,0.00784314,0.00039216,0,0,0,0,0,0,0,0
6,0.05,3,0.05588235,0.03823529,0.01176471,0.00058824,0,0,0,0,0,0,0,0
6,0.05,4,0.0745098,0.05098039,0.01568627,0.00078431,0,0,0,0,0,0,0,0
6,0.05,5,0.09215686,0.06323529,0.01960784,0.00098039,0,0,0,0,0,0,0,0
6,0.05,6,0.10980392,0.0754902,0.02352941,0.00117647,0,0,0,0,0,0,0,0
6,0.05,7,0.12647059,0.0872549,0.02745098,0.00137255,0,0,0,0,0,0,0,0
6,0.05,8,0.14313725,0.09901961,0.03137255,0.00156863,0,0,0,0,0,0,0,0
6,0.05,9,0.15784314,0.11029412,0.03509804,0.00176471,0,0,0,0,0,0,0,0
6,0.05,10,0.17254902,0.12156863,0.03882353,0.00196078,0,0,0,0,0,0,0,0
6,0.05,15,0.24313725,0.17647059,0.05745098,0.00294118,0,0,0,0,0,0,0,0
6,0.05,20,0.30980392,0.22696078,0.07509804,0.00392157,0,0,0,0,0,0,0,0
6,0.05,25,0.37156863,0.275,0.0927451,0.00490196,0,0,0,0,0,0,0,0
6,0.05,50,0.59901961,0.44901961,0.15941176,0.00980392,0,0,0,0,0,0,0,0
6,0.05,75,0.73627451,0.56470588,0.21196078,0.01470588,0,0,0,0,0,0,0,0
6,0.05,100,0.83431373,0.6627451,0.26098039,0.01960784,0,0,0,0,0,0,0,0
6,0.1,1,0.04215686,0.02843137,0.0072549,0.00019608,0,0,0,0,0,0,0,0
6,0.1,2,0.08235294,0.05637255,0.0145098,0.00039216,0,0,0,0,0,0,0,0
6,0.1,3,0.12058824,0.08333333,0.02156863,0.00058824,0,0,0,0,0,0,0,0
6,0.1,4,0.15686275,0.10931373,0.02862745,0.00078431,0,0,0,0,0,0,0,0
6,0.1,5,0.19215686,0.13431373,0.0354902,0.00098039,0,0,0,0,0,0,0,0
6,0.1,6,0.22647059,0.15931373,0.04235294,0.00117647,0,0,0,0,0,0,0,0
6,0.1,7,0.25882353,0.18235294,0.04901961,0.00137255,0,0,0,0,0,0,0,0
6,0.1,8,0.28921569,0.20490196,0.0554902,0.00156863,0,0,0,0,0,0,0,0
6,0.1,9,0.31862745,0.22598039,0.06117647,0.00176471,0,0,0,0,0,0,0,0
6,0.1,10,0.34607843,0.24509804,0.06686275,0.00196078,0,0,0,0,0,0,0,0
6,0.1,15,0.46862745,0.33676471,0.09411765,0.00294118,0,0,0,0,0,0,0,0
6,0.1,20,0.56960784,0.41617647,0.12,0.00392157,0,0,0,0,0,0,0,0
6,0.1,25,0.65,0.48578431,0.14411765,0.00490196,0,0,0,0,0,0,0,0
6,0.1,50,0.86960784,0.70686275,0.23333333,0.00980392,0,0,0,0,0,0,0,0
6,0.1,75,0.94215686,0.81666667,0.29019608,0.01470588,0,0,0,0,0,0,0,0
6,0.1,100,0.95294118,0.8745098,0.33117647,0.01960784,0,0,0,0,0,0,0,0
6,0.25,1,0.13137255,0.08382353,0.02,0,0,0,0,0,0,0,0,0
6,0.25,2,0.24509804,0.15882353,0.03862745,0,0,0,0,0,0,0,0,0
6,0.25,3,0.34411765,0.22598039,0.05627451,0,0,0,0,0,0,0,0,0
6,0.25,4,0.42941176,0.28627451,0.0727451,0,0,0,0,0,0,0,0,0
6,0.25,5,0.50196078,0.34019608,0.08843137,0,0,0,0,0,0,0,0,0
6,0.25,6,0.56568627,0.38921569,0.10313725,0,0,0,0,0,0,0,0,0
6,0.25,7,0.62058824,0.43235294,0.11705882,0,0,0,0,0,0,0,0,0
6,0.25,8,0.66764706,0.47254902,0.13039216,0,0,0,0,0,0,0,0,0
6,0.25,9,0.70980392,0.50931373,0.14294118,0,0,0,0,0,0,0,0,0
6,0.25,10,0.74607843,0.54215686,0.15470588,0,0,0,0,0,0,0,0,0
6,0.25,15,0.87058824,0.66862745,0.20411765,0,0,0,0,0,0,0,0,0
6,0.25,20,0.93235294,0.75392157,0.24235294,0,0,0,0,0,0,0,0,0
6,0.25,25,0.96470588,0.81323529,0.27176471,0,0,0,0,0,0,0,0,0
6,0.25,50,0.9872549,0.93823529,0.35176471,0,0,0,0,0,0,0,0,0
6,0.25,75,0.9872549,0.97156863,0.38019608,0,0,0,0,0,0,0,0,0
6,0.25,100,0.9872549,0.97156863,0.39039216,0,0,0,0,0,0,0,0,0
6,0.5,1,0.30098039,0.2004902,0.05156863,0,0,0,0,0,0,0,0,0
6,0.5,2,0.50882353,0.35147059,0.09568627,0,0,0,0,0,0,0,0,0
6,0.5,3,0.65490196,0.46813725,0.13352941,0,0,0,0,0,0,0,0,0
6,0.5,4,0.75686275,0.55833333,0.16627451,0,0,0,0,0,0,0,0,0
6,0.5,5,0.82745098,0.62990196,0.19431373,0,0,0,0,0,0,0,0,0
