p_header, p_value, plateau_index, start_r_px, end_r_px, start_r_norm, end_r_norm, tread_px, level_eff01, riser_to_next01, delta_tread_to_prev, tread_ratio_to_prev, log2_tread_ratio_to_prev
0_6     ,     0.6,            36,       6254,     6342,      78.175 ,    79.275 ,       89, 0.237931032,     0.010344828, -1                 ,          0.98888889, -0.01611967
0_6     ,     0.6,            37,       6343,     6431,      79.2875,    80.3875,       89, 0.227586204,     0.010344822, 0                  ,          1         , 0
0_6     ,     0.6,            38,       6432,     6518,      80.4   ,    81.475 ,       87, 0.217241382,     0.010344828, -2                 ,          0.97752809, -0.03278994
0_6     ,     0.6,            39,       6519,     6606,      81.4875,    82.575 ,       88, 0.206896554,     0.010344828, 1                  ,          1.01149425, 0.01648812
0_6     ,     0.6,            40,       6607,     6692,      82.5875,    83.65  ,       86, 0.196551726,     0.010344828, -2                 ,          0.97727273, -0.03316686
0_6     ,     0.6,            41,       6693,     6778,      83.6625,    84.725 ,       86, 0.186206898,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            42,       6779,     6863,      84.7375,    85.7875,       85, 0.17586207 ,     0.010344828, -1                 ,          0.98837209, -0.01687382
0_6     ,     0.6,            43,       6864,     6948,      85.8   ,    86.85  ,       85, 0.165517242,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            44,       6949,     7032,      86.8625,    87.9   ,       84, 0.155172414,     0.010344828, -1                 ,          0.98823529, -0.01707351
0_6     ,     0.6,            45,       7033,     7116,      87.9125,    88.95  ,       84, 0.144827586,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            46,       7117,     7199,      88.9625,    89.9875,       83, 0.134482758,     0.010344828, -1                 ,          0.98809524, -0.01727799
0_6     ,     0.6,            47,       7200,     7281,      90     ,    91.0125,       82, 0.12413793 ,     0.010344828, -1                 ,          0.98795181, -0.01748743
0_6     ,     0.6,            48,       7282,     7364,      91.025 ,    92.05  ,       83, 0.113793102,     0.010344828, 1                  ,          1.01219512, 0.01748743
0_6     ,     0.6,            49,       7365,     7446,      92.0625,    93.075 ,       82, 0.103448274,     0.010344828, -1                 ,          0.98795181, -0.01748743
0_6     ,     0.6,            50,       7447,     7527,      93.0875,    94.0875,       81, 0.093103446,     0.010344828, -1                 ,          0.98780488, -0.017702
0_6     ,     0.6,            51,       7528,     7608,      94.1   ,    95.1   ,       81, 0.082758618,     0.010344822, 0                  ,          1         , 0
0_6     ,     0.6,            52,       7609,     7689,      95.1125,    96.1125,       81, 0.072413796,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            53,       7690,     7769,      96.125 ,    97.1125,       80, 0.062068968,     0.010344828, -1                 ,          0.98765432, -0.01792191
0_6     ,     0.6,            54,       7770,     7849,      97.125 ,    98.1125,       80, 0.05172414 ,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            55,       7850,     7929,      98.125 ,    99.1125,       80, 0.041379312,     0.010344828, 0                  ,          1         , 0
0_6     ,     0.6,            56,       7930,     8000,      99.125 ,   100     ,       71, 0.031034484,                , -9                 ,          0.8875    , -0.17218098
0_7     ,     0.7,             1,          0,      288,       0     ,     3.6   ,      289, 0.7        ,     0.009090907,                    ,                    , 
0_7     ,     0.7,             2,        289,      645,       3.6125,     8.0625,      357, 0.690909093,     0.009090914, 68                 ,          1.23529412, 0.30485458
0_7     ,     0.7,             3,        646,     1002,       8.075 ,    12.525 ,      357, 0.681818179,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,             4,       1003,     1357,      12.5375,    16.9625,      355, 0.672727272,     0.009090907, -2                 ,          0.99439776, -0.00810505
0_7     ,     0.7,             5,       1358,     1712,      16.975 ,    21.4   ,      355, 0.663636365,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,             6,       1713,     2066,      21.4125,    25.825 ,      354, 0.654545458,     0.009090914, -1                 ,          0.9971831 , -0.00406966
0_7     ,     0.7,             7,       2067,     2419,      25.8375,    30.2375,      353, 0.645454544,     0.009090907, -1                 ,          0.99717514, -0.00408118
0_7     ,     0.7,             8,       2420,     2771,      30.25  ,    34.6375,      352, 0.636363637,     0.009090907, -1                 ,          0.99716714, -0.00409275
0_7     ,     0.7,             9,       2772,     3035,      34.65  ,    37.9375,      264, 0.62727273 ,     0.009090914, -88                ,          0.75      , -0.4150375
0_7     ,     0.7,            10,       3036,     3138,      37.95  ,    39.225 ,      103, 0.618181816,     0.009090907, -161               ,          0.39015152, -1.35789359
0_7     ,     0.7,            11,       3139,     3241,      39.2375,    40.5125,      103, 0.609090909,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,            12,       3242,     3343,      40.525 ,    41.7875,      102, 0.600000002,     0.009090914, -1                 ,          0.99029126, -0.01407519
0_7     ,     0.7,            13,       3344,     3445,      41.8   ,    43.0625,      102, 0.590909088,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,            14,       3446,     3546,      43.075 ,    44.325 ,      101, 0.581818181,     0.009090907, -1                 ,          0.99019608, -0.01421386
0_7     ,     0.7,            15,       3547,     3647,      44.3375,    45.5875,      101, 0.572727274,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,            16,       3648,     3747,      45.6   ,    46.8375,      100, 0.563636367,     0.009090914, -1                 ,          0.99009901, -0.01435529
0_7     ,     0.7,            17,       3748,     3847,      46.85  ,    48.0875,      100, 0.554545453,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,            18,       3848,     3946,      48.1   ,    49.325 ,       99, 0.545454546,     0.009090907, -1                 ,          0.99      , -0.01449957
0_7     ,     0.7,            19,       3947,     4045,      49.3375,    50.5625,       99, 0.536363639,     0.009090914, 0                  ,          1         , 0
0_7     ,     0.7,            20,       4046,     4143,      50.575 ,    51.7875,       98, 0.527272725,     0.009090907, -1                 ,          0.98989899, -0.01464678
0_7     ,     0.7,            21,       4144,     4241,      51.8   ,    53.0125,       98, 0.518181818,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,            22,       4242,     4338,      53.025 ,    54.225 ,       97, 0.509090911,     0.009090914, -1                 ,          0.98979592, -0.014797
0_7     ,     0.7,            23,       4339,     4435,      54.2375,    55.4375,       97, 0.499999997,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,            24,       4436,     4530,      55.45  ,    56.625 ,       95, 0.49090909 ,     0.009090907, -2                 ,          0.97938144, -0.03005723
0_7     ,     0.7,            25,       4531,     4623,      56.6375,    57.7875,       93, 0.481818183,     0.009090907, -2                 ,          0.97894737, -0.0306968
0_7     ,     0.7,            26,       4624,     4714,      57.8   ,    58.925 ,       91, 0.472727276,     0.009090914, -2                 ,          0.97849462, -0.03136417
0_7     ,     0.7,            27,       4715,     4804,      58.9375,    60.05  ,       90, 0.463636362,     0.009090907, -1                 ,          0.98901099, -0.01594154
0_7     ,     0.7,            28,       4805,     4891,      60.0625,    61.1375,       87, 0.454545455,     0.009090907, -3                 ,          0.96666667, -0.0489096
